Player,Years,Term,Position,Status,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32
Josh Anderson RW,1 UFA,"M-NTC","RW, LW",NHL,32,5.5,UFA,,,,,,,,False
Phillip Danault C,1 UFA,"M-NTC","C",NHL,33,5.5,UFA,,,,,,,,False
Andre Burakovsky RW,1 UFA,"M-NTC","RW",NHL,31,5.5,UFA,,,,,,,,False
Jaccob Slavin D,7 UFA,"","LD",NHL,32,5.492062,5.492062,5.492062,5.492062,5.492062,5.492062,0,784,784,False
Anders Lee LW,3 UFA,"NMC","LW",NHL,36,5.4,5.4,5.4,UFA,,,,,,False
Teuvo Teravainen LW,1 UFA,"M-NTC","LW, RW, C",NHL,31,5.4,UFA,,,,,,,,False
Elvis Merzlikins G,1 UFA,"M-NTC","G",NHL,32,5.4,UFA,,,,,0,274,274,False
Tristan Jarry G,2 UFA,"M-NTC","G",NHL,31,5.375,5.375,UFA,,,,0,326,326,False
Bowen Byram D,7 UFA,"","LD, RD",NHL,25,5.3125,10.625,10.625,10.625,10.625,10.625,0,328,328,False
Alexander Romanov D,7 UFA,"","LD",NHL,26,5.3125,5.3125,5.3125,5.3125,5.3125,5.3125,0,369,369,False
MacKenzie Weegar D,5 UFA,"NTC","RD",NHL,32,5.3125,5.3125,5.3125,5.3125,5.3125,UFA,,,,False
Damon Severson D,5 UFA,"NTC","RD",NHL,32,5.3125,5.3125,5.3125,5.3125,5.3125,UFA,,,,False
Travis Sanheim D,5 UFA,"NTC","LD, RD",NHL,30,5.3125,5.3125,5.3125,5.3125,5.3125,UFA,,,,False
Josh Morrissey D,2 UFA,"M-NTC","LD",NHL,31,5.3125,5.3125,UFA,,,,,,,False
Ryan Ellis D,1 UFA,"","RD",NHL,35,5.3125,UFA,,,,,0,566,566,False
Brad Marchand RW,5 UFA,"NMC","RW",NHL,38,5.25,5.25,5.25,5.25,5.25,UFA,,,,False
Mackenzie Blackwood G,4 UFA,"M-NTC","G",NHL,29,5.25,5.25,5.25,5.25,UFA,,0,291,291,False
Joel Eriksson Ek C,3 UFA,"M-NTC, NMC","C",NHL,29,5.25,5.25,5.25,UFA,,,,,,False
Darcy Kuemper G,1 UFA,"M-NTC","G",NHL,36,5.25,UFA,,,,,0,489,489,False
Ryan Pulock D,4 UFA,"NTC","RD",NHL,31,5.2275,5.2275,5.2275,5.2275,UFA,,,,,False
Aaron Ekblad D,7 UFA,"NMC","RD",NHL,30,5.185,5.185,5.185,5.185,5.185,5.185,,,,False
Cam Fowler D,3 UFA,"NTC","LD",NHL,34,5.185,5.185,5.185,UFA,,,,,,False
Kris Letang D,2 UFA,"M-NTC, NMC","RD",NHL,39,5.185,5.185,UFA,,,,,,,False
